naslov,izvajalec,kliki,tezavnost,akordi
Sorry,Justin Bieber,2955102,beginner,"['F', 'Am', 'G', 'Dm']"
Suck It And See Acoustic,Arctic Monkeys,899890,intermediate,"['E', 'C#m', 'F#m', 'B', 'A', 'G#']"
No One,Alicia Keys,1347944,beginner,"['C', 'G', 'Am', 'F', 'Dm', 'Em']"
Blister In The Sun,Violent Femmes,1164741,absolute beginner,"['G', 'C', 'Em', 'D']"
Oh Darling,The Beatles,1427152,intermediate,"['E7#5', 'A', 'E', 'F#m', 'D', 'Bm7', 'E7', 'A7', 'F7', 'B7', 'Bb7']"
Butterfly Fly Away,Miley Cyrus,867117,beginner,"['Cadd9', 'Em7', 'Asus4', 'G', 'D5']"
Aint No Rest For The Wicked,Cage the Elephant,866665,beginner,"['G', 'Bb', 'C', 'F']"
In My Life,The Beatles,1088868,beginner,"['G', 'D', 'Em', 'G7/F', 'C', 'Cm', 'F', 'A', 'A7', 'D7']"
Hero,Family of the Year,1059397,beginner,"['C', 'Am', 'Em', 'F', 'G']"
Because Of You,Kelly Clarkson,1665666,advanced,"['Em', 'C', 'Dsus', 'D', 'D5', 'Dadd4', 'G5', 'Bm', 'Emadd9', 'G', 'Cmaj7', 'Am7', 'G/B', 'B7', 'Dadd2', 'Dsus2', 'C2', 'F#m', 'Dmaj7', 'E', 'Bm7', 'A/C#', 'E7', 'C#7', 'Esus', 'E5']"
Fields Of Gold,Sting,1291803,intermediate,"['Bm7', 'Bm', 'G', 'D', 'Dsus4', 'G/B', 'A', 'Bsus2']"
Mary Janes Last Dance,Tom Petty and The Heartbreakers,950363,beginner,"['Am', 'G', 'Dsus2', 'Em7', 'A']"
Rude,MAGIC!,837493,beginner,"['F', 'G', 'C', 'Am']"
Exit Music For A Film,Radiohead,1791652,intermediate,"['Am', 'Asus2', 'Asus4', 'E', 'C/G', 'Dadd9/F#', 'A', 'Gmadd11', 'D7/F#', 'Am/C', 'Esus4', 'B7', 'F', 'Bb', 'B']"
